Datetime,Longitude,Latitude,Kedalaman,Magnitude,Keterangan,Clus_Db
2021-09-07,110.48927,-7.95,12,2.0,"
	Pusat gempa didarat, 14 Km BaratLaut Gunungkidul DIY
",-1
2021-09-09,109.88725,-8.941,21,3.1,"
	Pusat gempa dilaut 126 km BaratDaya Bantul - DIY
",0
2021-09-10,112.67659,-8.826,11,3.6,"
	Pusat gempa dilaut 77 km Tenggara KAB-MALANG-JATIM
",-1
2021-09-12,110.67562,-8.379,14,2.3,"
	Pusat gempa di laut 43 km Tenggara Gunungkidul - DIY
",-1
2021-09-13,111.75439,-8.74,10,2.9,"
	Pusat gempa di laut, 72 km Tenggara TRENGGALEK-JATIM
",-1
2021-09-14,108.89388,-8.567,10,3.7,"
	Pusat gempa di laut 94 km BaratDaya CILACAP - JATENG
",-1
2021-09-18,110.17534,-8.708,11,3.1,"
	Pusat gempa di laut, 91 km BaratDaya Bantul-DIY
",0
2021-09-21,111.60394,-7.358,235,3.1,"
	Pusat gempa didarat, 17 Km Timurlaut, Ngawi Jatim

	&nbsp;
",-1
2021-09-23,110.90336,-8.68,10,3.1,"
	Pusat gempa di laut 60 km BaratDaya Pacitan - Jatim
",-1
2021-09-24,106.0551577,-7.6,92,0.0,,-1
2021-09-25,112.94466,-8.975,84,3.3,"
	Pusat gempa di laut, 98 km BaratDaya LUMAJANG-JATIM
",-1
2021-09-26,109.00675,-7.151,9,3.0,"
	Pusat gempa di darat 21 km BaratDaya KAB-TEGAL-JATENG
",-1
2021-09-28,109.68,-7.03,31,2.2,"
	Pusat gempa di darat 11 km Selatan BATANG-JATENG dirasakan di Dieng II MMI
",-1
2021-09-29,113.65,-8.79,10,3.5,"
	Pusat gempa di laut 66 km Tenggara JEMBER-JATIM
",-1
2021-09-30,110.34,-8.78,7,3.2,"
	Pusat gempa di laut 92 km Baratdaya Gunung kidul DIY
",0
2021-10-02,110.34528,-8.046,17,2.6,"
	Pusat gempa di laut 16 km BaratDaya BANTUL-DIY
",-1
2021-10-03,110.76,-8.38,16,2.8,"
	Pusat gempa dilaut 44 km BaratDaya PACITAN-JATIM
",-1
2021-10-04,111.89162,-6.958,34,3.2,"
	Pusat gempa di datar 16 km BaratDaya TUBAN - JATIM
",-1
2021-10-06,110.23,-8.65,17,2.7,"
	dilaut 83 Km Barat Daya Bantul-DIY
",-1
2021-10-07,109.82735,-8.458,45,3.3,"
	Pusat gempa di laut, 80 km BaratDaya KULONPROGO-DIY
",-1
2021-10-08,108.94666,-7.178,6,3.3,"Pusat gempa didarat 28 km BaratDaya Kab Tegal - Jateng, dirasakan di Brebes II MMI",-1
2021-10-12,110.97,-8.87,55,4.8,"Pusat gempa 78 km BaratDaya PACITAN-JATIM dirasakan di Pacitan, Wonogiri, Treggalek, Gunungkidul III MMI , Bantul, Yogyakarta II MMI",-1
2021-10-13,108.72788,-8.249,80,2.9,"
	Pusat gempa di laut&nbsp;65 km BaratDaya CILACAP-JATENG
",-1
2021-10-15,110.79781,-8.407,15,2.4,"
	Pusat gempa di Laut 42 km BaratDaya Pacitan - Jatim
",-1
